date,opinion
20120101,0.10066629299999999
20120102,0.10066629299999999
20120103,0.10066629299999999
20120104,0.10066629299999999
20120105,0.10066629299999999
20120106,0.10066629299999999
20120108,0.10066629299999999
20120109,0.10066629299999999
20120110,0.10066629299999999
20120111,0.10066629299999999
20120112,0.10066629299999999
20120113,0.10066629299999999
20120114,0.10066629299999999
20120115,0.10066629299999999
20120116,0.10066629299999999
20120117,0.10066629299999999
20120118,0.10066629299999999
20120119,0.10066629299999999
20120120,0.10066629299999999
20120121,0.10066629299999999
20120122,0.10066629299999999
20120123,0.10066629299999999
20120124,0.10066629299999999
20120125,0.10066629299999999
20120126,0.10066629299999999
20120127,0.10066629299999999
20120128,0.10066629299999999
20120129,0.10066629299999999
20120130,0.10066629299999999
20120131,0.10066629299999999
